tweet_id,user_name,date,text,lang,favorites,retweets,replies,views
2048117766066987243,AlexMasonCrypto,Sat Apr 25 19:11:42 +0000 2026,"Everything is going exactly as I told you.

$79K has been hit.

The bull trap is over.

Every touch of the upper resistance gets sold.

This time is no different.

Bitcoin is entering the phase where the cycle bottom forms.

For the record, I was the only one publicly calling the exact bottom at $16,000 three years ago and the top at $126,000 in October.

If you missed those calls, don’t worry. I’ll call the next one too.

Turn notifications on.",en,1517,158,134,710059
2047753440369983734,Bitcoin_Teddy,Fri Apr 24 19:04:00 +0000 2026,"A man snapped a selfie with Italy’s Prime Minister Giorgia Meloni and declared he would vote “no” in a referendum she backs with a “yes.” Meloni replied coolly: “It’s democracy, that’s fine.” https://t.co/icNQLLk3y1",en,93,3,4,18037
2048103132178088307,SlavicNetworks,Sat Apr 25 18:13:33 +0000 2026,"🚨BREAKING NEWS: POLISH CRYPTO CEO FLEES TO ISRAEL AS HUNDREDS OF MILLIONS IN BITCOIN VANISH FROM POLISH ACCOUNTS 🇵🇱🔥

A major Polish cryptocurrency exchange, Zondacrypto, has collapsed, leaving hundreds of ordinary Polish citizens unable to access their savings. Approximately 4,500 Bitcoin — valued at hundreds of millions of dollars — is either locked or missing.
Here is the complete picture, explained clearly for the entire world:
Users deposited their hard-earned money to trade crypto. Withdrawals were suddenly frozen. The company’s founder, Sylwester Suszek, disappeared in 2022, allegedly taking the critical private keys with him. CEO Przemysław Kral insists there was no theft — only a “bank run” combined with technical issues caused by the missing founder. He claims the funds still exist but cannot be accessed.
However, evidence tells a far more disturbing story. Company reserves plummeted. Suspicious transactions occurred. Polish prosecutors are now investigating potential fraud, mismanagement, and theft, with confirmed losses already exceeding 350 million złoty (roughly $90–100 million USD).
While Polish families face financial ruin, CEO Przemysław Kral has fled to Israel. He recently acquired Israeli citizenship, rendering extradition to Poland extremely difficult, if not impossible. He is reportedly living safely and comfortably beyond the reach of Polish authorities.
It is striking — and increasingly difficult to ignore — how often these high-profile financial scandals end the same way: with those responsible escaping to Israel.
This is not unprecedented in Poland. Recall the Amber Gold scandal (2009–2012): a fraudulent “gold investment” company that operated as a classic Ponzi scheme. It promised unrealistically high returns and defrauded over 18,000 ordinary Poles of approximately 851 million złoty (hundreds of millions of dollars). Many victims lost their homes and life savings. Although the main perpetrators were eventually imprisoned, the case exposed deep failures by regulators, banks, and authorities — and many Poles still feel true accountability was never delivered.
The pattern extends beyond Poland. In Ukraine, businessman Timur Mindich, a former close associate of President Volodymyr Zelenskyy, faced accusations in a major $100 million corruption scandal involving the state nuclear energy company Energoatom (known as “Operation Midas”). Investigators alleged systematic bribes of up to 15% routed through intermediaries and shell companies. Mindich fled to Israel shortly before arrest and is now being tried in absentia.
In Poland today, Prime Minister Donald Tusk’s government, supported by controversial politician Roman Giertych (a former right-wing figure who switched alliances), is framing the Zondacrypto affair around political donations and “networks of influence” linked to crypto interests timed before regulatory decisions. Many see this as standard political maneuvering while victims await real justice.",en,3751,2186,235,201738
2048152456123568590,PeterSchiff,Sat Apr 25 21:29:33 +0000 2026,"The claim that Bitcoin only has to rise by 2% per year to cover the 11.5% yield on $STRC indefinitely assumes $MSTR stops issuing STRC. But Saylor is actually increasing issuance. The more STRC MSTR sells, the more BTC must rise to cover the yield. Also, if the price of STRC falls, MSTR will have to raise the yield to get the price back to 100. Of course, to cover the yield with Bitcoin, MSTR must sell BTC. But the more BTC @Saylor sells to pay the yield, the lower the price of BTC. The only way to stop the death spiral is for MSTR to cancel the dividend. Then STRC crashes, taking MSTR and BTC with it.",en,692,63,414,111614
2047616551923437753,SolLunix,Fri Apr 24 10:00:03 +0000 2026,"In 2012 a man bet his entire life savings on Bitcoin at $5 a coin.

In January 2012, Erik Finman was 12 years old

His grandmother gave him $1,000

He put all of it into Bitcoin

Bitcoin was trading at roughly $10 to $12 per coin at the time

He bought around 100 Bitcoin

His parents and teachers told him it was a waste

His high school teachers told him he was going nowhere

He made a bet with his parents

If he became a millionaire before turning 18 they would not force him to go to college

By 2013 Bitcoin hit $1,200 and his $1,000 had grown to around $100,000

He used some of the gains to start a small educational startup called Botangle at 13 years old

He sold Botangle in 2014 for 300 Bitcoin

At that point Bitcoin was around $200

That sale added 300 more coins to his stack at what turned out to be the cycle low
By 2017, when Bitcoin hit $18,000, Erik Finman was 18 years old

His Bitcoin was worth over $4 million

• He won the bet
• He never went to college
• His parents had to put it in writing

• He said in interviews that his teachers had told him he would end up working at McDonald's

At Bitcoin's peak in October 2025 at $126,198, his original 100 coins from the $1,000 investment would have been worth $12.6 million

His additional 300 Bitcoin from the Botangle sale would have been worth $37.8 million

$1,000 given by a grandmother

A 12 year old who believed his teachers were wrong

The teachers were wrong",en,4850,221,132,1184416
2048176273969623535,SimplyBitcoin,Sat Apr 25 23:04:11 +0000 2026,"CAITLIN LONG: ""If you rehypothecate Bitcoin, all you're doing is recreating the problems of the existing system.""
 https://t.co/ULkMvTRiom",en,411,62,19,24887
2047315611357708491,TimmerFidelity,Thu Apr 23 14:04:13 +0000 2026,"Bitcoin continued to build up last week, making a new recovery high of $78,344.  The rally off the $60,033 low could still be described as a bear flag (not unlike the bear market rally last fall), but my sense is that Bitcoin continues to build a large base here in preparation for the next major up wave.",en,1220,130,39,146180
2029202842989244594,markminervini,Wed Mar 04 14:30:33 +0000 2026,"On balance, Bitcoin can take a couple of months to bottom even after a sharp decline. A couple of things to watch: 
MSTR has tended to lead Bitcoin at key turning points. 
IBIT — the largest Bitcoin ETF with roughly $69B in assets — has seen about $2.7B in outflows over the past 21 days. I’d like to see those fund flows stabilize and shift positive for a reliable bottom.",en,1350,169,43,150594
2048388043229270250,saylor,Sun Apr 26 13:05:41 +0000 2026,The ₿eat Goes On. https://t.co/tBDs2z0b4z,en,10205,1173,822,329259
2045796487641326040,MaxCrypto,Sun Apr 19 09:27:46 +0000 2026,"If you invested $10,000 when Crypto President Trump took office, you would have:

Silver: $26,000
Gold: $17,800
Nasdaq: $12,300
Russell 2000: $11,980
S&P 500: $11,780
Bitcoin: $7,300
Ethereum: $7,200
Large Cap Alts: $6,000
Mid Cap Alts: $3,500
Small Cap Alts: $2,000
Memecoins: $500",en,125,48,37,11925
2047762750286307574,0xChiefy,Fri Apr 24 19:40:59 +0000 2026,"Bitcoin structure hasn’t changed across cycles.

$BTC is now mirroring the EXACT bull trap setup from 2022.

Fake Breakout → Bull Trap → Dump → Reset

Bookmark this chart and stay ahead of the crowd. https://t.co/C4jzQCeUFX",en,229,98,52,39814
2045830894670209518,GoingParabolic,Sun Apr 19 11:44:29 +0000 2026,"""Experts” predictions for Bitcoin by the end of 2026

$126,000 — CitiGroup
$148,000 — Pantera Capital
$150,000 — Standard Chartered
$170,000 — JPMorgan
$180,000 — VanEck
$189,000 — Tom Lee
$200,000 — Standard Chartered
$250,000 — Tim Draper
$275,000 — Cathie Wood
$350,000 — Robert Kiyosaki
$400,000 — Anthony Scaramucci
$500,000 — Chamath Palihapitiya
$500,000 — Mike Novogratz

Thoughts?",en,1895,227,666,334540
2046522076505464852,saylordocs,Tue Apr 21 09:31:00 +0000 2026,"Analyst predicts Bitcoin will hit $500,000 and be the world's reserve currency, at $100, 11 years ago 

""3,000 $BTC and you're a billionaire."" https://t.co/ltS2hCiwWF",en,941,54,20,183199
2048155845167341948,BitcoinArchive,Sat Apr 25 21:43:01 +0000 2026,"💡INSIGHT: Bitcoin ""diamond hands"" have stopped panicking.

Long-Term Holder SOPR has flipped from 0.80 to 1.1.

•Investors realized 20% losses at the local bottom
•They are now realizing 10% profits at ~$78,000
•The structural floor has been confirmed

Conviction was tested. Smart money won.",en,404,85,44,27919
2047530376541729225,TheRealPlanC,Fri Apr 24 04:17:37 +0000 2026,"For anyone who watched the ""Finding Satoshi"" movie.

It was the best-made documentary and most credible theory to date on the subject. 

I watched it twice.

My thoughts:

Opsec and anonymity infrastructure
- Len 95%

Wrote the Bitcoin code
- Finney 90%

Writing of the whitepaper
- Len 90%

Ran early network and mining
- Finney 90%

Public ""Satoshi"" voice
- Len 90%

The ideas in the whitepaper
- Jointly designed

Economic mechanism design
- Jointly designed

Disappearance decision
- Jointly designed

Decided not to move the coins
- Jointly, both clearly not money-driven

We are ALL Satoshi. 

These two men were GREAT men and legends.",en,1352,127,150,114422
2048011839389241769,CoinvoTrading,Sat Apr 25 12:10:47 +0000 2026,"🚨 THIS ACCURATE 100 YEAR OLD BITCOIN PATTERN IS HERE. 

It's a 13-step pattern with step 7 being the last drawdown before the rally. 

We've just finished step 7. 

The rally is next. https://t.co/TyAeanDsA3",en,298,45,8,24877
2048326718226628952,Bitcoin_Teddy,Sun Apr 26 09:02:00 +0000 2026,"French politician removes his Rolex watch before giving a speech ""denouncing the ultra-rich"" https://t.co/mQzqkdQRIc",en,1176,231,19,19197
2034023953090678796,theRealKiyosaki,Tue Mar 17 21:47:55 +0000 2026,"THE PIN that bursts the BUBBLE:

Q: Why do you want to acquire as much Bitcoin, gold, silver, and Ethereum NOW…. BEFORE the Bubble Busts?

A:  Because once the pin….whatever event  represents the pin…bursts….Gold, silver, Bitcoin, and Ethereum will go to the stars. 

Always remember Rich Dad’s rule: “Your profit is made when you buy…not when you sell.

Buy now….before the bubble bursts…. and get richer….while most people get poorer.

Take care.",en,2730,289,250,274899
2048306333355819216,fiatarchive,Sun Apr 26 07:41:00 +0000 2026,"MICHAEL SAYLOR: The life expectancy of Bitcoin is infinite because its inflation rate is zero.      

""You're immortal; you're living for a billion… trillion years.""      

""I like the idea of gold, but digital gold is better. And how much better? Infinitely better!"" https://t.co/wEjuH8WceT",en,58,9,8,1942
